deployment name,protocol name,protocol type,network,status,slug,query-id
orbit-celo,orbit,bridge,celo,prod,orbit-celo,DdGECh8tM63FEsT96AjxfhxkE5wTBeBPdnh3qkUYpcvY
orbit-ethereum,orbit,bridge,ethereum,prod,orbit-ethereum,DpGRvQhDPH3EXRuCjMM7RednJz25Ucm2oYp56Vb4k74F
orbit-polygon,orbit,bridge,polygon,prod,orbit-polygon,FQVKZkxeeqdnGU4a1Qwm5SVu8FxtQVPshzpLBAhMH1V9
portal-avalanche,portal,bridge,avalanche,prod,portal-avalanche,BV3hShBwZkZM7RL9XPGqZ9JyJcE2vrWqXwFQYTVquH3Z
portal-bsc,portal,bridge,bsc,prod,portal-bsc,FCd8kxMGFkk3AGEHeYRngeHvBsuTpQo7XBLu6XoyDctr
portal-ethereum,portal,bridge,ethereum,prod,portal-ethereum,HxduZZ9fy1shXbo7EAG9W73geBAxzKjVNXgMkxeTJkpX
portal-fantom,portal,bridge,fantom,prod,portal-fantom,3wKUbySRqqBe6bXGWm3aDr9g8fuUoxKMqcdhTGwBGyjG
portal-polygon,portal,bridge,polygon,prod,portal-polygon,4V9sMa8P8vKAccUtR8jP28mBfvtUMip4tVvMBSDC7h3V
stargate-arbitrum,stargate,bridge,arbitrum,prod,stargate-arbitrum,DWo7jrtpTtUM1buqiCUg7j7XUF568qNPBv7FwwDceuxm
stargate-avalanche,stargate,bridge,avalanche,prod,stargate-avalanche,6XypMkQUovcohhVC2XeWgdXeDsBcnL9ynKdLXpXggoHd
stargate-base,stargate,bridge,base,prod,stargate-base,4amk8rvTHgxSobsFKsr5jheHsDzLcwyqc8vHhNC1xhGt
stargate-bsc,stargate,bridge,bsc,prod,stargate-bsc,6sRx6JNkjz66id39jCK3GMiVnPVuyuv2ntwQVpDzmjRF
stargate-ethereum,stargate,bridge,ethereum,prod,stargate-ethereum,G1pPbbMjwCnFiyMherq8wqfMusZDriLMqvGBHLr2wS34
stargate-fantom,stargate,bridge,fantom,prod,stargate-fantom,2pG7kUAfPhtGyy1StFLhFu8pwTR5kDsCJN9KZjWn9Lnk
stargate-optimism,stargate,bridge,optimism,prod,stargate-optimism,7NAF7ZtNtJiXkfCFkTSAyFbfLLfUFa55UgK5woxPxZ46
stargate-polygon,stargate,bridge,polygon,prod,stargate-polygon,SitmxEcPXXwo5cFK8Y2FSMZNZNQ4gXcGdWBDqo3A7K6
dopex-arbitrum,dopex,derivatives-options,arbitrum,prod,dopex-arbitrum,6C7okGPnmQw4eahgvkjzKGqHyXsZBLSWz7BBEyyfe6vB
dopex-polygon,dopex,derivatives-options,polygon,prod,dopex-polygon,nTecf2j4MGgqgJrKTGmvVyWn169py1H9fgvaiN29MVu
opyn-gamma-arbitrum,opyn-gamma,derivatives-options,arbitrum,prod,opyn-gamma-arbitrum,BC766cXkcBxAwQ6LAYnQytdHJLpJX1C1bbrMFhLCHx7C
opyn-gamma-avalanche,opyn-gamma,derivatives-options,avalanche,prod,opyn-gamma-avalanche,3eaTJDJ1Y867jkDMY1iEJJLRZTSREfGZjusgmucptWJE
